Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
S&S Activewear,Embroidery,Black,212464,Men's PFG Bahama™ II Short Sleeve Shirt,Fossil,L,1
S&S Activewear,Embroidery,Black,212477,Bora Bora™ Booney,Fossil,One Size,1
S&S Activewear,Embroidery,Black,212477,Bora Bora™ Booney,Sage,One Size,1
S&S Activewear,Embroidery,Black,5302,Men's Challenger Full-Zip Jacket,Grey,L,1
S&S Activewear,Embroidery,Black,5302,Men's Challenger Full-Zip Jacket,Saddle,L,1
S&S Activewear,Embroidery,Black,5350,Men's Motion Soft Shell Jacket,Saddle,L,1
S&S Activewear,Embroidery,Black,6277,Cotton Blend Cap,Khaki,L/XL,1
S&S Activewear,Embroidery,Black,6511,Trucker Cap,Caramel,One Size,1
