Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
SanMar,Embroidery,Silver,NKDC2109,,2XL Navy,,1
SanMar,Embroidery,Silver,NKDC2115,,2XL Team Red,,1
