Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
SanMar,Embroidery,Black,NKFQ4792,,2XL University Blue,,1
SanMar,Embroidery,Black,ST660,,2XL Orange,,1
