Order Number,Company,Original Line Item,Product Name,Style Number,Garment Color,Size,Quantity,Review Reason
#1513,,T223508TB - Xl - Team Blue,,T223508TB,Xl - Team Blue,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,T223508TB - Xl - Red,,T223508TB,Xl - Red,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,TravisMathew Onward Colorblock Polo TMA42774 - Balsam Green/ Black / XL,TravisMathew Onward Colorblock Polo,TMA42774,Balsam Green/ Black,XL,1,Decoration color not assigned in Product Master
#1513,,TravisMathew Glenview Stripe Polo TMA41462 - Laurel Green / XL,TravisMathew Glenview Stripe Polo,TMA41462,Laurel Green,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,TravisMathew Glenview Solid Polo TMA41461 - Scooter Red / XL,TravisMathew Glenview Solid Polo,TMA41461,Scooter Red,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,TravisMathew Cabana Chest Stripe Polo. TM1MU416 - Blue Nights / XL,TravisMathew Cabana Chest Stripe Polo,TM1MU416,Blue Nights,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,TravisMathew Rad Flexback Cap. TM1MU426 - Black / L/XL,TravisMathew Rad Flexback Cap,TM1MU426,Black,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1513,,TravisMathew FOMO Novelty Cap. TM1MU425 - Black / OSFA,TravisMathew FOMO Novelty Cap,TM1MU425,Black,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1514,Water Quality- R/C,TravisMathew Rad Flexback Cap. TM1MU426 - Black / S/M,TravisMathew Rad Flexback Cap,TM1MU426,Black,S/M,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1515,,Carhartt ®  Gilliam Vest CT102286 - Moss / XL,Carhartt ® Gilliam Vest,CT102286,Moss,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1515,,24/7 Original Tactical Pant Rip-Stop - Navy / 36 / 32,24/7 Original Tactical Pant Rip-Stop - Navy / 36,,,32,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1515,,24/7 Original Tactical Pant Rip-Stop - Olive Drab / 36 / 32,24/7 Original Tactical Pant Rip-Stop - Olive Drab / 36,,,32,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1515,,24/7 Original Tactical Pant Rip-Stop - Khaki / 36 / 32,24/7 Original Tactical Pant Rip-Stop - Khaki / 36,,,32,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1515,,24/7 Original Tactical Pant Rip-Stop - Coyote / 36 / 32,24/7 Original Tactical Pant Rip-Stop - Coyote / 36,,,32,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1516,,24/7 Original Tactical Pant Rip-Stop - Coyote / 34 / 34,24/7 Original Tactical Pant Rip-Stop - Coyote / 34,,,34,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1516,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar / 34x34,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar,34x34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Dark Shadow / 34x34,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Dark Shadow,34x34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 34 / 34,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 34,34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,District ®  Perfect Blend ®  CVC Tee. DM108 - Heathered Dusty Sage / XL,District ® Perfect Blend ® CVC Tee,DM108,Heathered Dusty Sage,XL,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,District ®  Perfect Blend ®  CVC Tee. DM108 - Deep Royal Fleck / XL,District ® Perfect Blend ® CVC Tee,DM108,Deep Royal Fleck,XL,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,The North Face ®  Sleeve Logo Pullover Hoodie NF0A8AU0 - New Taupe Green Heather / XL,The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,New Taupe Green Heather,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,NKAH6266 - XL - Dark Grey,,NKAH6266,XL - Dark Grey,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1516,,The North Face ®  Sleeve Logo Pullover Hoodie NF0A8AU0 - TNF Medium Grey Heather / XL,The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,TNF Medium Grey Heather,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,ST250 - Medium - Royal,,ST250,Medium - Royal,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,110c - Hat - Navy,,110C,Hat - Navy,,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,S608 - Medium - Strong Blue,,S608,Medium - Strong Blue,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,S608 - Medium - Burgundy,,S608,Medium - Burgundy,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,MQK00096 - Medium - Cardinal Heather,,MQK00096,Medium - Cardinal Heather,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,MQK00096 - Medium - Bottle Green Heather,,MQK00096,Medium - Bottle Green Heather,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,MQK00096 - Medium - Blue Heather,,MQK00096,Medium - Blue Heather,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,Richardson Laser Perf Performance Rope Cap 355 - Light Olive/ Olive / OSFA,Richardson Laser Perf Performance Rope Cap,355,Light Olive/ Olive,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,Richardson Laser Perf Performance Rope Cap 355 - Dark Loden/ Tannin Grey / OSFA,Richardson Laser Perf Performance Rope Cap,355,Dark Loden/ Tannin Grey,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,Richardson Pro Twill Snapback 212 - Maroon / SM,Richardson Pro Twill Snapback,212,Maroon,SM,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,BELLA+CANVAS  ®  Unisex Heather CVC Short Sleeve Tee. BC3001CVC - Heather Sunset / M,BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Heather Sunset,M,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,BELLA+CANVAS  ®  Unisex Heather CVC Short Sleeve Tee. BC3001CVC - Solid Red Blend / M,BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Solid Red Blend,M,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,BELLA+CANVAS  ®  Unisex Heather CVC Short Sleeve Tee. BC3001CVC - Solid True Royal Blend / M,BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Solid True Royal Blend,M,3,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,BELLA+CANVAS  ®  Unisex Heather CVC Short Sleeve Tee. BC3001CVC - Heather Grass Green / M,BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Heather Grass Green,M,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Blue Nights / 34x30,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Blue Nights,34x30,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1517,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Sea Turtle / 34x30,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Sea Turtle,34x30,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Port Authority ®  Flexfit ®  Cotton Twill Cap. C813 - True Red / L/XL,Port Authority ® Flexfit ® Cotton Twill Cap,C813,True Red,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Port Authority ®  Flexfit ®  Cotton Twill Cap. C813 - Maroon / L/XL,Port Authority ® Flexfit ® Cotton Twill Cap,C813,Maroon,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Port Authority ®  Flexfit ®  Cotton Twill Cap. C813 - Kelly Green / L/XL,Port Authority ® Flexfit ® Cotton Twill Cap,C813,Kelly Green,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Port Authority ®  Flexfit ®  Cotton Twill Cap. C813 - Orange / L/XL,Port Authority ® Flexfit ® Cotton Twill Cap,C813,Orange,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Port Authority ®  Flexfit ®  Cotton Twill Cap. C813 - Forest Green / L/XL,Port Authority ® Flexfit ® Cotton Twill Cap,C813,Forest Green,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Nike Dri-FIT Vertical Mesh Polo. 637167 - Old Royal / 2XL,Nike Dri-FIT Vertical Mesh Polo,637167,Old Royal,2XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,24/7 Original Tactical Pant Rip-Stop - Charcoal / 40 / 30,24/7 Original Tactical Pant Rip-Stop - Charcoal / 40,,,30,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1518,,24/7 Original Tactical Pant Rip-Stop - Coyote / 40 / 30,24/7 Original Tactical Pant Rip-Stop - Coyote / 40,,,30,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1518,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 40 / 30,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 40,30,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1518,,Richardson Lite Wide Brim Hat 810 - Black / OSFA,Richardson Lite Wide Brim Hat,810,Black,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
