Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
SanMar,Screen Print,White,PC78ZH,,6XL Navy,,2
SanMar,Screen Print,White,RA7110SS,,Large Royal,,1
