Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
Cutter & Buck,Embroidery,Black,BCK01127,,XL Tall Atlas,,1
Cutter & Buck,Embroidery,Black,LQO00053,,Large Fog,,1
