Product Name,Style Number,Garment Color,Vendor,Decoration Type,Decoration Color
Port Authority ® Outdoor Wide-Brim Hat,C920,Sterling Grey,,,
Port Authority ® Outdoor Wide-Brim Hat,C920,Stone,,,
24/7 Original Tactical Pant Rip-Stop,CHARCOAL/40/30,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/34/34,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/36/32,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/40/30,,,,
Port Authority ® Knit Cap,CP90,Athletic Oxford,SanMar,Embroidery,
Port Authority ® Knit Cap,CP90,Neon Orange,,,
CornerStone ® ANSI 107 Class 3 Long Sleeve Segmented Tape Hooded Tee,CS208,Safety Yellow,,,
CornerStone ® Select Lightweight Snag-Proof Enhanced Visibility Polo,CS423,Safety Yellow/ Black,,,
Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Sweatshirt,CT100615,New Navy,,,
Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Zip Mock Sweatshirt,CT100617,Carbon Heather,,,
Carhartt ® Gilliam Vest,CT102286,Moss,,,
Carhartt ® Gilliam Vest,CT102286,Shadow Grey,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Black,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Dark - KHAKI,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Dark Khaki,,,
Carhartt ® Washed Duck Active Jac,CT104050,Black,,,
Carhartt Force ® Solid Short Sleeve Shirt,CT105292,Dark - KHAKI,,,
Carhartt Force ® Solid Short Sleeve Shirt,CT105292,Dark Khaki,,,
Carhartt Force ® Solid Short Sleeve Shirt,CT105292,Steel,,,
Men's Stretch Tech-Shell® Compass Quarter-Zip Pullover,DG440,Dark Grey Heather,,,
District ® Perfect Blend ® CVC Tee,DM108,Deep Royal Fleck,,,
District ® Perfect Blend ® CVC Tee,DM108,Heathered Dusty Sage,,,
Gildan ®,DRYBLEND®50COTTON/50POLYLONGSLEEVET-SHIRT.8400,Forest Green,,,
Gildan ®,DRYBLEND®50COTTON/50POLYLONGSLEEVET-SHIRT.8400,Maroon,,,
Tru-Spec Agility Pant,FLATDARKEARTH/30/34,,,,
Tru-Spec Agility Pant,FLATDARKEARTH/36/32,,,,
Port Authority ® Outdoor Wide-Brim,HAT,. C920 - Sterling Grey,,,
Port Authority ® Outdoor Wide-Brim,HAT,. C920 - Stone,,,
Richardson Lite Wide Brim,HAT,810 - Black,,,
Richardson Lite Wide Brim,HAT,810 - Royal,,,
Straw,HAT,,,,
,JT50,Large - Brown,,,
24/7 Original Tactical Pant Rip-Stop,KHAKI,36,,,
24/7 Original Tactical Pant Rip-Stop,KHAKI,40,,,
Tru-Spec Agility Pant,KHAKI,30,,,
Tru-Spec Pro Flex Pant,KHAKI,34,,,
Tru-Spec Agility Pant,KHAKI/30/34,,,,
Tru-Spec Pro Flex Pant,KHAKI/34/34,,,,
24/7 Original Tactical Pant Rip-Stop,KHAKI/36/32,,,,
Tru-Spec Pro Flex Pant,KHAKI/36/34,,,,
24/7 Original Tactical Pant Rip-Stop,KHAKI/40/34,,,,
Tru-Spec Pro Flex Pant,LEGREEN/36/32,,,,
LP22BK,LP22BK,Premium Industrial Multi-Use Pocket Pants,,,
,LQO00053,Large Fog,Cutter & Buck,Embroidery,Black
LQO00053,LQO00053,LARGE,,,
MQK00096,MQK00096,Medium,,,
24/7 Original Tactical Pant Rip-Stop,NAVY/36/32,,,,
Men's Deluxe Long Sleeve Cotton Coverall,NAVY/XL,,,,
New Era® Series Performance Long Sleeve Crew Tee,NEA201,TEMP - Graphite,,,
New Era® Series Performance Long Sleeve Crew Tee,NEA201,TEMP - Solid Black,,,
The North Face ® Skyline Full-Zip Fleece Jacket,NF0A7V64,Four Leaf Clover Heather,,,
The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,New Taupe Green Heather,,,
The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,TNF - MEDIUM,,,
The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,TNF Medium Grey Heather,,,
The North Face ® Barr Lake Hooded Soft Shell Jacket,NF0A8BUF,Shady Blue Dark Heather,,,
The North Face ® Highest Peak Full-Zip Fleece Jacket,NF0A8BUQ,TNF Black,,,
,NKDC2109,2XL Navy,SanMar,Embroidery,Silver
,NKDC2115,2XL Team Red,SanMar,Embroidery,Silver
NKDX6688,NKDX6688,Medium,,,
,NKFQ4792,2XL University Blue,SanMar,Embroidery,Black
NS849,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant,,,
24/7 Original Tactical Pant Rip-Stop,OLIVEDRAB/36/32,,,,
,PC78ZH,6XL Navy,SanMar,Screen Print,White
PX62,PX62,Khaki,,,
,RA7110SS,Large Grey,SanMar,Screen Print,Black
,RA7110SS,Large Royal,SanMar,Screen Print,White
RA7110SS,RA7110SS,LARGE,,,
S608,S608,Medium,,,
Men's Short Sleeve Pro Airflow Work Shirt,SP4A,KHAKI,,,
ST250,ST250,Medium,,,
ST640LS,ST640LS,Large,,,
,ST660,2XL Orange,SanMar,Embroidery,Black
STC40,STC40,L/XL,,,
TravisMathew Cabana Chest Stripe Polo,TM1MU416,Blue Nights,,,
TravisMathew FOMO Novelty Cap,TM1MU425,Black,,,
TravisMathew Rad Flexback Cap,TM1MU426,Black,,,
TravisMathew Rad Flexback Cap,TM1MU426,Blue Nights,,,
TravisMathew Rad Flexback Cap,TM1MU426,Quiet Shade Grey,,,
TravisMathew Glenview Solid Polo,TMA41461,Scooter Red,,,
TravisMathew Glenview Stripe Polo,TMA41462,Laurel Green,,,
TravisMathew Onward Colorblock Polo,TMA42774,Balsam Green/ Black,SanMar,Embroidery,
Gildan ®,ULTRACOTTON®100%USCOTTONLONGSLEEVET-SHIRTWITHPOCKET.2410,Black,,,
Gildan ®,ULTRACOTTON®100%USCOTTONLONGSLEEVET-SHIRTWITHPOCKET.2410,Navy,,,
Gildan ®,ULTRACOTTON®100%USCOTTONLONGSLEEVET-SHIRTWITHPOCKET.2410,S. Orange,,,
Gildan ®,ULTRACOTTON®100%USCOTTONLONGSLEEVET-SHIRTWITHPOCKET.2410,Safety Green,,,
Gildan ®,ULTRACOTTON®100%USCOTTONLONGSLEEVET-SHIRTWITHPOCKET.2410,Sport Grey,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Ash,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Black,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Light Blue,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Navy,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,S. Orange,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Safety Green,,,
Gildan ®,ULTRACOTTON®100%USCOTTONT-SHIRTWITHPOCKET.2300,Sand,,,
WRT20JH,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean,,,
BCK01127,XL,Tall Atlas,,,
NKAH6266,XL,Dark Grey,,,
T223508TB,XL,Red,,,
T223508TB,XL,Team Blue,,,
